provider_id,fullName,email,phoneNumber,serviceType,expertise,experienceYears,status,kycStatus,rating,totalJobsCompleted,acceptanceRate,cancellationRate,avgResponseSeconds,serviceRadiusKm,priceLevel,languages,availableSlots,createdAt,latitude,longitude,address,distance_km
1,Ajay Mishra,ajay.mishra.1@pequire.com,+91 7580281001,Electrical,"washing machine,inverter",17,Offline,Verified,4.7,218,90,12,2785,14,standard,"English,Hindi","09:00 AM - 11:00 AM,03:00 PM - 05:00 PM,11:00 AM - 01:00 PM,01:00 PM - 03:00 PM",2026-04-21T16:08:25.781240,26.389122962048905,80.32166319223191,"Naubasta, Kanpur",9.63
2,Sandeep Verma,sandeep.verma.2@pequire.com,+91 8478470587,Electrical,"led light,washing machine,refrigerator",23,Online,Verified,1.1,454,77,12,106,10,premium,English,"03:00 PM - 05:00 PM,05:00 PM - 07:00 PM,01:00 PM - 03:00 PM,09:00 AM - 11:00 AM",2025-11-25T16:08:25.781240,26.489933010817115,80.30598628366808,"Vishnupuri, Kanpur",4.94
3,Jitendra Maurya,jitendra.maurya.3@pequire.com,+91 7864796333,Carpentry,"window repair,furniture polish,sofa repair,door repair",22,Busy,Verified,4.2,153,96,13,67,16,standard,English,"09:00 AM - 11:00 AM,03:00 PM - 05:00 PM,01:00 PM - 03:00 PM,11:00 AM - 01:00 PM,05:00 PM - 07:00 PM",2026-01-30T16:08:25.781240,26.493294633781286,80.29282143190254,"Vishnupuri, Kanpur",6.29
4,Amit Ahmad,amit.ahmad.4@pequire.com,+91 6029621294,Electrical,"fan repair,refrigerator,ac repair,led light,washing machine",12,Online,Verified,3.9,179,70,33,1008,21,standard,"Bhojpuri,English,Hindi","11:00 AM - 01:00 PM,01:00 PM - 03:00 PM,09:00 AM - 11:00 AM",2025-12-14T16:08:25.781240,26.493700621813133,80.27040224317574,"Kalyanpur, Kanpur",8.41
5,Deepak Saini,deepak.saini.5@pequire.com,+91 9178863012,Carpentry,"sofa repair,lock fix",23,Online,Verified,3.7,83,93,38,3542,24,premium,Punjabi,"05:00 PM - 07:00 PM,09:00 AM - 11:00 AM,03:00 PM - 05:00 PM,11:00 AM - 01:00 PM",2025-07-08T16:08:25.781240,26.387829643017426,80.32403541510583,"Naubasta, Kanpur",9.7
6,Vishal Jain,vishal.jain.6@pequire.com,+91 6495464713,Electrical,"washing machine,fan repair,inverter,led light,refrigerator",13,Offline,Verified,4.8,195,67,1,649,6,budget,"Bhojpuri,English,Hindi","09:00 AM - 11:00 AM,01:00 PM - 03:00 PM,05:00 PM - 07:00 PM,11:00 AM - 01:00 PM",2025-09-28T16:08:25.781240,26.48344577628441,80.23287850644083,"Panki, Kanpur",11.85
7,Rahul Kushwaha,rahul.kushwaha.7@pequire.com,+91 8567926102,Plumbing,"shower repair,water tank cleaning,tap fitting",22,Online,Pending,4.8,460,77,2,109,25,budget,Punjabi,"03:00 PM - 05:00 PM,05:00 PM - 07:00 PM,01:00 PM - 03:00 PM,11:00 AM - 01:00 PM,09:00 AM - 11:00 AM",2025-09-01T16:08:25.781240,26.443562849049982,80.29749992387903,"Govind Nagar, Kanpur",6.19
8,Sunil Maurya,sunil.maurya.8@pequire.com,+91 6445350305,Plumbing,"water tank cleaning,geyser repair",17,Online,Verified,2.3,171,64,6,3186,5,standard,Punjabi,"05:00 PM - 07:00 PM,01:00 PM - 03:00 PM",2026-01-27T16:08:25.781240,26.473359075112672,80.32468316868436,"Swaroop Nagar, Kanpur",2.65
9,Sumit Sharma,sumit.sharma.9@pequire.com,+91 7262481500,Carpentry,"furniture polish,lock fix",21,Online,Verified,3.7,148,63,33,2608,24,premium,"English,Hindi","05:00 PM - 07:00 PM,03:00 PM - 05:00 PM",2025-06-05T16:08:25.781240,26.46941044071156,80.28311934471903,"Kakadeo, Kanpur",6.78
10,Vishal Chauhan,vishal.chauhan.10@pequire.com,+91 8741164032,Plumbing,"shower repair,toilet blockage,sink repair,pipe leak,geyser repair",22,Offline,Verified,4.5,356,96,2,3221,13,budget,"Punjabi,English,Bhojpuri","05:00 PM - 07:00 PM,09:00 AM - 11:00 AM,01:00 PM - 03:00 PM,03:00 PM - 05:00 PM,11:00 AM - 01:00 PM",2025-05-20T16:08:25.781240,26.463070356083755,80.34556130658387,"Civil Lines, Kanpur",1.1
11,Manoj Yadav,manoj.yadav.11@pequire.com,+91 8770787439,Laundry,"stain removal,carpet cleaning",24,Online,Verified,4.3,307,68,0,552,11,standard,Bhojpuri,"09:00 AM - 11:00 AM,11:00 AM - 01:00 PM,01:00 PM - 03:00 PM,03:00 PM - 05:00 PM",2025-08-27T16:08:25.781240,26.494280248280145,80.28920843373656,"Kakadeo, Kanpur",6.67
12,Ajay Khan,ajay.khan.12@pequire.com,+91 7742960883,Laundry,"carpet cleaning,stain removal,dry clean,steam iron,curtain cleaning",5,Busy,Verified,4.6,167,84,9,1495,16,budget,"Hindi,Bhojpuri,Punjabi","01:00 PM - 03:00 PM,11:00 AM - 01:00 PM,05:00 PM - 07:00 PM",2025-06-29T16:08:25.781240,26.455648925041892,80.35986685976029,"Cantonment, Kanpur",1.97
13,Rajesh Dwivedi,rajesh.dwivedi.13@pequire.com,+91 9567763622,Electrical,"switchboard,refrigerator,wiring,led light,washing machine",4,Online,Verified,4.8,345,60,14,1666,6,premium,English,"09:00 AM - 11:00 AM,01:00 PM - 03:00 PM,11:00 AM - 01:00 PM,05:00 PM - 07:00 PM,03:00 PM - 05:00 PM",2026-01-30T16:08:25.781240,26.418533928514464,80.33923330702169,"Kidwai Nagar, Kanpur",6.02
14,Jitendra Yadav,jitendra.yadav.14@pequire.com,+91 9110715854,Carpentry,"cabinet fix,sofa repair,lock fix,window repair,modular kitchen",12,Offline,Verified,4.2,23,62,7,228,7,standard,"Hindi,Punjabi,English","09:00 AM - 11:00 AM,05:00 PM - 07:00 PM,11:00 AM - 01:00 PM",2025-09-07T16:08:25.781240,26.489216177262122,80.22760730997882,"Panki, Kanpur",12.46
15,Ajay Sharma,ajay.sharma.15@pequire.com,+91 9387637939,Plumbing,"tap fitting,geyser repair,sink repair,shower repair,toilet blockage",23,Offline,Verified,4.4,368,82,13,2184,12,standard,Bhojpuri,"01:00 PM - 03:00 PM,05:00 PM - 07:00 PM,09:00 AM - 11:00 AM",2026-03-15T16:08:25.781240,26.496659637733593,80.3009735256957,"Azad Nagar, Kanpur",5.72
16,Jitendra Pandey,jitendra.pandey.16@pequire.com,+91 8145962646,Electrical,"led light,switchboard,washing machine,inverter,refrigerator,fan repair",4,Busy,Verified,4.7,348,90,15,2678,20,premium,"Bhojpuri,Hindi,Punjabi","09:00 AM - 11:00 AM,11:00 AM - 01:00 PM,05:00 PM - 07:00 PM,01:00 PM - 03:00 PM",2025-08-12T16:08:25.781240,26.477659608918504,80.33876877580988,"Civil Lines, Kanpur",1.41
